lr,dropout,batch_train,rnn_size,rnn_layers,bidirectional,score
0.004191243411533151,0.4077432995090504,64,128,1,False,0.1763157894736842
0.000812834332455366,0.5505927446601039,64,128,1,False,0.18552631578947368
0.0019370161593516143,0.10468324587088493,64,128,1,False,0.22236842105263158
0.0003201798506119175,0.28535507767365087,64,128,1,False,0.34342105263157896
0.0018504000733161243,0.6461945979046081,64,128,1,False,0.1868421052631579
0.0024449376276260886,0.7650871955371941,64,128,1,False,0.2026315789473684
0.001918612309367495,0.4376862823339177,64,128,1,False,0.17894736842105263
0.0005091156976236592,0.4421202373005516,64,128,1,False,0.29473684210526313
0.0006987157940557533,0.7522651223045169,64,128,1,False,0.16447368421052633
0.008514381804268235,0.3037246286139864,64,128,1,False,0.1723684210526316
0.00022885639420515563,0.6871342566966472,64,128,1,False,0.24210526315789474
0.00033929413129395793,0.26799602259859495,64,128,1,False,0.35789473684210527
0.0008017491954561055,0.47783901441338517,64,128,1,False,0.25394736842105264
0.0005512323114117279,0.22742103427029445,64,128,1,False,0.31842105263157894
0.00202623321747379,0.31701652310397066,64,128,1,False,0.18289473684210528
0.0016972230343568976,0.49997920257416917,64,128,1,False,0.22763157894736843
0.0005498981894623457,0.7033658574697141,64,128,1,False,0.22236842105263158
0.0007530795028513456,0.6076431958456957,64,128,1,False,0.18421052631578946
0.00031160003874151855,0.4886267396401396,64,128,1,False,0.28421052631578947
0.002264745327931545,0.29010442264026964,64,128,1,False,0.19605263157894737
0.007066291667117783,0.19232547616358203,64,128,2,False,0.1881578947368421
0.006087417453359976,0.769119452204488,64,128,2,False,0.18421052631578946
0.0008370939333373759,0.6669656637899241,64,128,2,False,0.24605263157894736
0.0001518676332823841,0.24836539203386226,64,128,2,False,0.3868421052631579
0.0037943893358229966,0.7653335357539852,64,128,2,False,0.17894736842105263
0.00020688636345228082,0.6610594545688976,64,128,2,False,0.3671052631578947
0.008062988817642181,0.7798697314890761,64,128,2,False,0.16578947368421051
0.00019619378828346075,0.5114694144523062,64,128,2,False,0.3513157894736842
0.0049862151356991685,0.4275905744897647,64,128,2,False,0.18421052631578946
0.004795506041031965,0.4802310797294168,64,128,2,False,0.18552631578947368
0.0006567069302831433,0.6655835752910707,64,128,2,False,0.3013157894736842
0.0009711335968030178,0.590868248127131,64,128,2,False,0.23289473684210527
0.00029087108568920963,0.18660592118381616,64,128,2,False,0.36578947368421055
0.003448344533149342,0.3853022895198446,64,128,2,False,0.1763157894736842
0.006663232331506355,0.19677705995409114,64,128,2,False,0.15657894736842104
0.0014466534165717437,0.5836282401921522,64,128,2,False,0.17763157894736842
0.004602883382505888,0.7387008917063782,64,128,2,False,0.16710526315789473
0.005280936909409794,0.3109281566730462,64,128,2,False,0.19078947368421054
0.0019757366186877634,0.1508593654383058,64,128,2,False,0.22105263157894736
0.00023996119902300165,0.3985681879109412,64,128,2,False,0.34868421052631576
